subjno	age	gender	isPractice	viewdist	CmToPixX	CmToPixY	SOA_frm	SOA_time	targNum	targID	targExample	targRace	targGender	firstTargPos	contrast	familiarity	curr_staircase	iStair	TrialNum	BlockNum	blktrl	sessionNum	TC_FIXATION	TC_RSVP_START	TC_RSVP_END	TC_BLANK	TC_RESPONSE_ONSET	RT2afc	resp_2afc	acc	RSVPOnsetVBL	RSVPOnsetTime	RSVPOffsetVBL	RSVPOffsetTime	startrt_2afc
103	19	0	0	90	36.1581920903955	36.241610738255	11	0.366692128125578	2	10	2	NaN	2	4	0.135790103959126	1	1	NaN	1	1	1	2	121	221	321	NaN	521	0.637961827218533	2	1	NaN	3625645.3569827	NaN	3625646.3403055	3625646.87340127
103	19	0	0	90	36.1581920903955	36.241610738255	25	0.833391200285405	2	12	4	NaN	2	5	0.135790103959126	1	1	NaN	2	1	2	2	121	221	321	NaN	521	1.08621537452564	2	1	NaN	3625651.5242445	NaN	3625652.5075342	3625653.04068103
103	19	0	0	90	36.1581920903955	36.241610738255	21	0.70004860823974	2	11	3	NaN	2	4	0.135790103959126	1	1	NaN	3	1	3	2	121	221	321	NaN	521	1.0612502945587	2	1	NaN	3625654.9577288	NaN	3625655.9410818	3625656.45767701
103	19	0	0	90	36.1581920903955	36.241610738255	19	0.633377312216908	2	1	6	NaN	1	5	0.135790103959126	1	1	NaN	4	1	4	2	121	221	321	NaN	521	0.880151422228664	1	1	NaN	3625659.0747935	NaN	3625660.0581927	3625660.57473448
103	19	0	0	90	36.1581920903955	36.241610738255	12	0.400027776136994	2	11	5	NaN	2	3	0.135790103959126	1	1	NaN	5	1	5	2	121	221	321	NaN	521	0.319778721779585	2	1	NaN	3625662.2750965	NaN	3625663.25849	3625663.77505408
103	19	0	0	90	36.1581920903955	36.241610738255	19	0.633377312216908	2	10	6	NaN	2	5	0.135790103959126	1	1	NaN	6	1	6	2	121	221	321	NaN	521	0.565780869219452	2	1	NaN	3625664.9253613	NaN	3625665.9087427	3625666.42531253
103	19	0	0	90	36.1581920903955	36.241610738255	22	0.733384256251156	2	10	2	NaN	2	5	0.135790103959126	1	1	NaN	7	1	7	2	121	221	321	NaN	521	0.673792369663715	2	1	NaN	3625667.8088563	NaN	3625668.7923771	3625669.30892603
103	19	0	0	90	36.1581920903955	36.241610738255	0	0	1	11	5	NaN	2	5	0.135790103959126	1	1	NaN	8	1	8	2	111	211	311	NaN	511	0.569871622137725	2	1	NaN	3625670.8093894	NaN	3625671.7926589	3625672.30923468
103	19	0	0	90	36.1581920903955	36.241610738255	10	0.333356480114162	2	10	4	NaN	2	5	0.135790103959126	1	1	NaN	9	1	9	2	121	221	321	NaN	521	0.317291817162186	2	1	NaN	3625673.7095616	NaN	3625674.6930168	3625675.20951068
103	19	0	0	90	36.1581920903955	36.241610738255	10	0.333356480114162	2	11	3	NaN	2	4	0.135790103959126	1	1	NaN	10	1	10	2	121	221	321	NaN	521	0.683684117626399	2	1	NaN	3625676.3431492	NaN	3625677.326546	3625677.84311028
